년도,가수,제목,남녀,장르,최고순위,작사가,작곡가,소속사,가사
20040922,케이팝,영화처럼,male,발라드,-,정진수,김진훈,-,그렇죠 나를 보고 웃던 한 사람 분명 그대죠 창 너머 기대 울던 그 고운 얼굴 나 지금 차의 뒷자리에 앉은 그대를 따라 난 한참을 뛰고 또 뛰어 보았죠 I know 너무 짧은 순간이지만 나는 느낄수가 있었죠 마지못해 살았을 그 시간들 눈물로 지쳐간 그댈 다신 울지마요 다시 만날 그 땐 나보다 더 좋은 사람과 그 품에 안겨 크게 웃어줘요 오 나같은 건 잊어요 정말 죽을만큼 아프다고 해도 나 이제는 참을 수 있죠 나보다도 아파서 울던 그대 마음 알았으니 행복해요 지금도 부은 눈으로 입술을 깨물고서 내 걱정 하나요 그러지 말아요 그댄 웃고 있는 얼굴이 가장 잘 어울려요 사랑해요 사랑해 끝도 없이 되내이던 그대의 한 마디 그 입술 하나만 나 기억할게요 I know 다시 언젠가 만나겠죠 서로 그리워 하다보면 오늘처럼 짧은 우연이라도 영화의 한장면 처럼 다신 울지마요 다시 만날 그 땐 나보다 더 좋은 사람과 그 품에 안겨 크게 웃어줘요 오 나같은 건 잊어요 정말 죽을만큼 아프다고 해도 나 이제는 참을수 있죠 나보다 더 아파서 울던 그대 마음 알았으니 행복해요 하나만 약속해요 날 만난 오늘만 오늘 하루만 울겠다고 그리고 다신 울지 말아요 그리고 영원히 날 잊어줘요 정말 죽을만큼 아프다고 해도 나 이제는 참을 수 있죠 나보다 더 아파서 울던 그대의 마음 알았으니 행복해요
20040922,케이팝,추억의 향기,male,발라드,-,정진수,주영훈,-,그리움의 끝에 언제나 그대가 마르지 않는 한방울 눈물로  시들어가는 어깨위로 길게 자란 머리 날 걱정하는 그대가 아는지 모두 그대에게 주는건데  주인 잃은 내 추억까지  그대 머물던 그 풍경속에  남겨져도 아프지않게  나를 살게했던 한 사람 나 어떻게 그대를 잊어 나 오늘도 그대 때문에  또 하루를 살아가 많이 울고 많이 아파도  얼마든지 난 견뎌낼거야 행여 멀리서 슬픈 내소식에  그대 울지않도록 영원히  가끔 그대가 들려주던 고운 피아노위에 먼지같은 아득한 세월만이 기다림에 지쳐가는 내게  내일이 오지 않기를 날아간 향기를 찾고있는  눈먼 내사랑이 가여워 나를 살게했던 한 사람 나 어떻게 그대를 잊어 나 오늘도 그대 때문에  또 하루를 살아가 많이 울고 많이 아파도  얼마든지 난 견뎌낼거야 행여 멀리서 슬픈 내소식에  그대 울지않도록 영원히  몇번이나 태우지 못했던  사진속의 그대 미소 다음 그 다음또 영혼까지  다시 헤매는 일 없도록 나를 살게했던 한 사람 나 어떻게 그대를 잊어 나 오늘도 그대 때문에  또 하루를 살아가 많이 울고 많이 아파도  얼마든지 난 견뎌낼거야 행여 멀리서 슬픈 내소식에  그대 울지않도록 영원히  그리움 끝에도 더한 눈물도 나의 믿음까진 덮을 순 없어 가끔 지쳐가는 나의 눈물까지  모두 다 추억이란 이름속에 묻어둬 이젠 아무것도 남은 것도  더이상은 기억할수없는 무엇도 뇌리 속에 기억되는 순간순간에  사랑이라는 이름으로 남겨둬
20040922,케이팝,Lover Boys,male,댄스,-,주영훈,주영훈,-,Oh you know it's time to go and don't stop now Oh it's the lover boy round you can't stop now Oh is you ready for the flow then don't stop now Oh back with the lover boy sound Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared 첨부터 내가 사랑을 깨닫게 되기 전부터 아냐 이 세상에 눈을 뜨기 전부터 아마 인연이랑 이름으로 너를 사랑 할 수 밖에 없는걸 don't be shy baby girl 내게 더 가까이 나도 모른 나의 다른 사랑 내 모습이 너에게 전할게 그날 그때까지 너를 위로한채 나의 모든것을 it is now 이젠 하루가 새롭기만해 맑은 날의 높고 푸른 하늘처럼 왠지 모를 기쁨들이 밀려오고 나도 모를 콧 노래를 흥얼거려 그토록 외롭던 주말과 휴일에 그 무엇도 할수없던 초라한 모습 이제부터 달라져갈 새로운 모습에 나는 날아올라 오 나도 몰라 이렇게 왠지 기분이 좋아 살짝 미소짓는 너의 모습에 나는 행복해 오 날아올라 부풀어 오는 벅찬 이 기분 너의 사랑으로 다시 태어난 I'm  your lover boy Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared 뭐라고 내게 손가락질 한다 해도 됐다고 이젠 자신 있는 내 모습에 누구도 뭐라 할 수 없는 용기 stop hum I'm ready to go I'm a lover boy good 이젠 가거라 슬픔아 지쳐있던 과거속의 내 모습 모두 다 고독 눈물 모두 하나의 속임수 나에게서 멀리 떠나가라 take it back 네가 지쳐 넘어 진대도 너의 손을 잡아주는 내가 있어 언제라도 너의 곁에 남아있어 이 계절이 몇 번 다시 바뀐대도 이렇게 저렇게 세상이 변해도 내 모습이 세월 따라 초라해져도 지금처럼 너에 대한 사랑 하나로 나는 이 자리에 오 나도 몰라 이렇게 왠지 기분이 좋아 살짝 미소짓는 너의 모습에 나는 행복해 오 날아올라 부풀어 오른 벅찬 이 기분 너의 사랑으로 다시 태어난 I'm your lover boy J with the track again yo i'm on top of this back with the spark and oh ain't nobody stopin this ready set go and the beat yo I be rockin it last call droppin the pen back again 오 나도 몰라 이렇게 왠지 기분이 좋아 살짝 미소짓는 너의 모습에 나는 행복해 오 날아올라 부풀어 오른 벅찬 이 기분 너의 사랑으로 다시 태어난 I'm your lover boy Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody hip hop party rock boby yo Everybody let's get stared
20040922,케이팝,So Long....,male,발라드,-,김태희,Ken Hirai,-,모두다 나의 잘못이죠 울지 말아요 oh no no 이렇게 두 눈을 뜨고도 그대의 아픔 눈물도 볼수 없었죠 더 안아주고 더 사랑 해야 했는데 바보 처럼 난 그대를 불안하게해 다른 어깨에 기대어 흔들리게 만들었죠 다 지워 버려요 나같은건 잊어요 가슴이 메어와 아무말도 할 수 없지만 꼭 행복해줘요 다신 이세상 사는 동안 사랑을 이유로 울지말아요 미안해 할 사람은 나죠 용서말아요 oh no no 언제나 받을줄만 알던 나의 이기심 때문에 많이 아팠죠 더 안아주고 더 사랑 해야 했는데 바보 처럼 난 그대를 불안하게해 다른 어깨에 기대어 흔들리게 만들었죠 다 지워 버려요 나같은건 잊어요 가슴이 메어와 아무말도 할 수 없지만 꼭 행복해줘요 다신 이세상 사는 동안 사랑을 이유로 울지 말아요 I feel still your love when i see you when i kiss you feel over you I feel still your love when i touch you when i hold you as ever baby I feel still your love when i miss you when i hold you always in my heart 말하지 그랬어 기횔주지 그랬어 너무 사랑해서 아껴두려 한것 뿐인데 그대원했다면 무엇이라도 했을텐데 왜 나의 사랑을 왜 울게 하나요
20040922,케이팝,단 한번만,male,발라드,-,정진수,정진수,-,그대 어디선가 나를 보고 있겠죠 그런 이유로 난 절대 울면 안되죠 그대 가녀린 손으로 늘 내 입가에 그려주던 미소로 다시 만날 그날만을 손꼽아 기다리죠 내 걱정마요 어둠 너머 긴 날이 저물면 하루만큼 더 그대 곁으로 다가선다는 생각에 행복해요 슬퍼 말아요 추억에 기대어 있다면 어느새 우린 함께 있을 테니까요 오늘은 어디서 나를 기다리나요 어떤 모습으로 나를 반겨 주나요 비가 되어 나를 감싸도 바람 결에 나를 만져 보아도 그리움에 지친 그대라는 걸 나는 알죠 내 걱정마요 어둠 너머 긴 날이 저물면 하루만큼 더 그대 곁으로 다가선다는 생각에 행복해요 come on 아주 멀리 있다 해도 your love 변하지 않을 테니까 it is true 아무 걱정하지 마요 love you 내가 가고 있잖아요 지금 내 옆에 있지 않아도 오래된 그리움에 니가 지쳐도 조금만 기다려 yo the one for me 나 지금 너에게 달려 가잖니 나는 설레임에 잠들죠 기다려줄 그댈 찾아 한방울 내 눈물에 사라져갈 그대지만 내 걱정마요 어둠 너머 긴 날이 저물면 하루만큼 더 그대 곁으로 다가선다는 생각에 저 멀리 그댈 불러봐요 다 듣고 있나요 듣고 있다면 대답해줘요 내 맘 다 알고 있다고 단 한번만 음 단 한번만
20040922,케이팝,그날,male,댄스,-,주영훈,주영훈,-,Stop in to the girl girl in my heart you left me alone in my life heart break in my soul check out this funky sound 사랑했던 그 사람을 보내야 했다 뒤돌아선 그 모습에 참아야 했다 가지 말란 한마디를 삼켜야 했다 행복 하란 그 말만은 차마 못했다 이대로 그대로 멀어지면 그대로 내게남은 상처뿐이 자존심에 더 이상 어떤 말도 꺼낼수가 없었다 왜 울지 말라고 잊어 달라고 가라고 했어 왜 미안 하다고 그렇게 쉽게 말할 수 있어 내겐 그 어떤 말도 하지 말라며 애써 눈물 짓는 너의 모습이 싫어 모두 다 잊혀져갈 추억인 것을 애써 지우라고 말하는거야 in my life In my soul 깊이 남겨진 기억 어떻게 다 쉽게 버릴 수가 있겠어 In my heart In my mind 오직 너로 가득해 멀어지는 그 모습까지 또 그렇게 하루 해가 저물어 갔다 어김없이 어둠속에 내가 서 있다 참으려고 애를 써도 눈물이 난다 돌아서던 뒷 모습이 아른거린다 불러도 불러도 대답 없는 니 이름 가슴 속을 매어오는 슬픈 이름 너의 그 이름 다 깨어져간 믿음 그 속에 남은 시름 또 남겨지는 나의 울음 왜 묻지 말라고 잡지 말라고 해야만 했어 왜 이렇게 끝날 사랑인 것을 예감 못했어 내게는 받아드릴 시간조차도 허락하지 않은 채로 끝 맺은 거야 누구도 대신 할 수 없는 아픔을 내게 남긴 채로 떠나는 거야 in my life In my soul 깊이 남겨진 기억 어떻게 다 쉽게 버릴 수가 있겠어 In my heart In my mind 오직 너로 가득해 멀어지는 그 모습까지 in my life In my soul 깊이 남겨진 기억 어떻게 다 쉽게 버릴 수가 있겠어 In my heart In my mind 오직 너로 가득해 멀어지는 그 모습까지 in my life In my soul 깊이 남겨진 기억 어떻게 다 쉽게 버릴 수가 있겠어 In my heart In my mind 오직 너로 가득해 멀어지는 그 모습까지
20040922,케이팝,July,male,발라드,-,김태희,신형,-,언제부터 우리의 사랑에 너와 내가 알수 없었던 조그만 틈이 생겨버렸어 예감은 하고 있었어 그저 하루 이틀이 지나갈수록 불안할수록 널 잡고 싶은맘에 그저 모른척 했을 뿐 널 지워버린단말 이젠 잊고 싶단말 아무렇지 않단말 그건 모두 내 거짓말 아무것도 달라질수도 너없이 나 살아갈수도 없어 Don't forget remember 여전히 내겐 yesterday 한줄기 비와 사랑을 나누었죠 회색빛 하늘 속에서 세상이 허락해준 마지막 하루를 사는 사람들처럼 끝없는 눈물로 향기를 잃어 떨어진 꽃잎들을 까만 흙속에 묻고 아무일도 없듯이 알수없는 얼굴로 나는 또 하루를 살아요 모두 잊혀져 가겠죠 비를 사랑한 꽃처럼 애써 서글픈 미소로 아픈날을 견디다 보면 다시 사랑도 하겠죠 가끔 푸른 밤 꿈에서 깨어 난 눈물 흘리겠지만 우리를 축복하지 않는 세상과 커다란 담을 쌓았죠 누구도 아름다운 우리의 사랑을 훔쳐 볼수 없도록 그리움 하나로 내 품에 안겨 흐느껴 울던 그대 깊이 가슴에 묻고 아무일도 없듯이 알수 없는 얼굴로 내일 또 하루를 살겠죠 모두 잊혀져 가겠죠 비를 사랑한 꽃처럼 애써 서글픈 미소로 아픈날을 견디다 보면 다시 사랑도 하겠죠 가끔 푸른 밤 꿈에서 깨어 난 눈물 흘리겠지만 날 사랑하기에 아픔만을 주고간 그 마음을 알아요 그대 잊지 않을게요 아름다운 추억으로 가끔 꿈같은 미소로 우리 사랑 꺼내볼게요 오랜 시간이 흘러서 다른 누가 내곁을 지켜도 나 그댈 간직할게요 우리만의 비밀로
20040922,케이팝,Do U Know,male,발라드,-,김태희,김진훈,-,Do u know my heart my love Do u know my heart my love my 아니라고 했지만 많이 흔들리고 있어 그 향기가 그 숨결이 자꾸 널 잊어버리게 해 난 너를 사랑하지만 그 마음 변함 없지만 어느 새 손은 너를 뒤로 한채 그녀의 번호를 누르는 걸 I naver wanna missing your love for me 이대로 들키고 싶지도 않아 미안해 이런 내 맘을 나도 어쩔수가 없어 only one would you my like a no way to is one for me 낯선 내 모습이 힘들겠지만 끝이 어딘지 몰라도 끝까지 나를 지켜줘 if your love why 오래 걸리지 않아 난 다시 돌아갈거야 그 손길이 그 눈빛이 잠시 내 맘을 가졌지만 함정에 빠진 나를 버려둔 채 이대로 나를 버리지 마 너무도 커다란 내 사랑을 의심하지마 이건 내 인생에 단 한번의 실수란걸 그래 인정할게 니가 필요한데 너없이 두려운 내 맘의 사랑을 이대로 지켜줘 I naver wonna missing your love for me 이대로 들키고 싶지도 않아 미안해 이런 내 맘을 나도 어쩔수가 없어 only one would you my like a no way to is one for me 낯선 내 모습이 힘들겠지만 끝이 어딘지 몰라도 끝까지 나를 지켜줘 if your love I naver wonna missing your love for me 이대로 들키고 싶지도 않아 미안해 이런 내 맘을 나도 어쩔수가 없어 only one would you my like a no way to is one for me 낯선 내 모습이 힘들겠지만 끝이 어딘지 몰라도 끝까지 나를 지켜줘 if your love Do u know my heart my love Do u know my heart my love
20040922,케이팝,수요일에는 빨간 장미를...,male,발라드,-,이두헌,이두헌,-,수요일에는 빨간 장미를  그녀에게 안겨주고파 흰옷을 입은 천사와 같이  아름다운 그녀에게 주고싶네 슬퍼보이는 오늘밤에는  아름다운 꿈을 주고파 깊은 밤에도 잠 못 이루던  내 마음을 그녀에게 주고싶네 한송이는 어떨까  왠지 외로워 보이겠지 한다발은 어떨까 왠지 무거워 보일거야  시린 그대 눈물 씻어주고픈  수요일엔 빨간 장미를 우우 슬픈 영화에서처럼 비내리는 거리에서 무거운 코트 깃을 올려세우며  비오는 수요일엔 빨간 장미를 한송이는 어떨까  왠지 외로워 보이겠지 한다발은 어떨까 왠지 무거워 보일거야  시린 그대 눈물 씻어주고픈  수요일엔 빨간 장미를 우우 슬픈 영화에서처럼 비내리는 거리에서 무거운 코트 깃을 올려세우며  비오는 수요일엔 빨간 장미를
20040922,케이팝,Misty...,male,발라드,-,정진수,정정민,-,너를 이해할 수 없지만 널 사랑했었어 나만 바라보길 원한다면 욕심인거니 갖고 싶은만큼 참아온 긴 체념의 날들 끝없는 이별을 준비하게 해 Why 오랜 추억으로도 내 사랑으로도 너의 곁으로 왜 갈 순 없는지 더는 견딜수 없어 더는 자신이 없어 닿을 수 없는 먼 곳으로 늘 달아나는 널 사랑하긴 하는지 이렇게 아픈 날 알긴 아는지 안개에 가려진 그 맘 이제 내게 보여줘 너의 뒷 모습은 언제나 날 불안하게 해 다시는 나에게 돌아오지 않을것처럼 꺼져있는 너의 전화는 날 상상하게 해 내게 숨겨야할 사랑있는지 여전히 니 맘속에 내가 머물 자린 없는지 아무리 애를 써도 내 것 일수 없는지 도무지 이해할 수 없는 니 마음속에 누가 있는지 언제나 함께해도 항상 외롭기만 해 더는 견딜수 없어 더는 자신이 없어 닿을 수 없는 먼 곳으로 늘 달아나는 널 사랑하긴 하는지 이렇게 아픈 날 알긴 아는지 안개에 가려진 그 맘 이제 내게 보여줘 무슨 말이 더 필요해 나의 사랑 알잖아 이제 더는 망설이지마 사랑하지만 내가 전부일 수 없는 너 곁에 있어도 언제나 나를 혼자이게 해 사랑하긴 하는지 이렇게 아픈 날 알긴 아는지 안개에 가려진 그 맘 이제 내게 보여줘 아닐 거라고 수없이 나의 머릿속에 되뇌어 나의 착각이라고 나의 집착이라고 내 작은 오해가 그녈 힘들게 할수도 있겠지만 더 이상 니 마음을 내게 숨기려 하지마 말해줘 now tell me tell me tell me
20040922,케이팝,집착,male,댄스,-,안은진,이희성,-,내 손은 이미 널 놓아버렸지만 내 눈은 너를 놓쳐버렸지만 나의 기억과 흐르는 눈물은 왜 널 놓아주질 않아 나는 아직도 널 찾고 있지만 내 기억은 아직 너를 원해 마지막 기회를 줘 나에게 돌아와 줘 oh baby 내곁에 니곁에 내가 아닌 다른 다른 누군가 생겼단 얘기를 들었어 난 믿고 싶지않아 아니 믿을 수 없어 넌 이런 여자 아니잖아 하지만 내가 싫어 날 떠날거라는 너의 얘길 듣고서 모든 걸 알게됐어 우리 사랑은 이미 너에겐없다는 걸 차라리 모른 척 해야 했어 너 보내기 싫었다면 보지 말았어야 했어 너 곁에 둘수 없다면 니 속에 나 아닌 그 어떤 누구라도 나혼자 감춰둬야 했어 그리고 니 마음까지 다 가질 수 없다해도 없다해도 나 피할수 없는 나의 선택은 단 하나 오직 너 내손은 이미 널 놓아버렸지만 내 눈은 너를 놓쳐버렸지만 나의 기억과 흐르는 눈물은 왜 널 놓아주질 않아 내 마음은 아직도 널 찾고 있지만 내 기억은 아직 너를 원해 마지막 기회를 줘 나에게 돌아와 줘 그렇게라도 널 잡고 싶어 니 손을 놓지 않았어 눈물이라도 너를 또 다른 어떤 것도 널 잡을 수만 있었다면 이런 내모습조차 넌 싫은거니 아니면 미안한거니 너무도 냉정하게 내 손을 뿌리치던 널 믿을 수 없었어 날 니 기억에서 깨워줘 너라는 그 환상속에서 너의눈빛과 그 미소도 이제 내게 남지 않게 내 손은 이미 널 놓아버렸지만 내 두눈은 너를 놓쳐버렸지만 나의 기억과 흐르는 눈물은 왜 널 놓아주질 않아 오 내마음은 아직 널 찾고 있지만 내 기억은 아직 너를 원해 마지막 기회를 줘 나에게 돌아와 줘
20040922,케이팝,Life,male,댄스,-,김태희,김진훈,-,I just wanna be your love tonight you come on to me like this Hold me tighty feeling me happy Everybody shake tonight enjoy of rhythm like this Better be good feeling your body 복잡하게 생각하지마 거울 앞으로 달려가 너를 쳐다봐 그리고 느껴봐 무엇을 향해 가는지 지금 여기가 어딘지 I just wanna be alright 니가 감당할 수 없는 무거운 삶의 무게 그 또한 니가 만들어낸 버거운 삶의 굴레 스스로 너를 가두고 그 안에 갇혀 버린 너 니가 원해왔던 삶이란 이런게 아니잖아 누가 너의 인생을 대신 살아주지 않잖아 하루종일 헤매어도 미친듯 춤을 춰도 술취해 비틀대도 It is my life 단 하루를 살아도 하고 싶은데로 right now 누구의 시선도 느낄 필요없어지는날 그저 원한데로 몸이 가는데로 I just wanna be ok It is for my life never gonna do 누군가의 가르침은 필요없어 It is all of mind now and forever 언제나 나의 뜻대로 I just wanna be your love tonight you come on to me like this Hold me tighty feeling me happy Everybody shake tonight enjoy of rhythm like this Better be good feeling your body on and on living your life now take that 꿈 꿨던 내 희망 never break that 감췄던 어제와 오늘의 꿈들을 너에게 다시 되찾고 make that 내 속에 담겨진 잊혀져버린 나의 모습을 어린아이 눈을 통해 푸른 저 sky 위로 fly we go 자 이제 잠들고 live our life now let me break it down 내일이면 늦어 왜 원한단 그 말을 못해 뜨겁게 끓는 니 안의 젊음 더 이상 감춰 두지마 I just wanna be your love tonight you come on to me like this Hold me tighty feeling me happy Everybody shake tonight enjoy of rhythm like this Better be good feeling your body I just wanna be your love tonight you come on to me like this Hold me tighty feeling me happy Everybody shake tonight enjoy of rhythm like this Better be good feeling your body
20040922,케이팝,Dear My Love,male,발라드,-,김태희,정진수,-,아름다워요 오늘 그대의 모습이 눈부신 햇살아래 한 송이 흰 꽃처럼 많은 사람들과 환하게 웃는 그 얼굴 언제 봐도 날 행복하게 하죠 행복한가요 그 미소 그대로 우 영원히 나의 곁을 떠나는 오늘 이젠 내가 아닌 사람이 기다리네요 나를 등 뒤로 그에게 걸어가겠죠 자꾸만 왜 돌아보나요 날 찾고 있나요 달려가 안아줄 수도 없는데 안돼요 못난 나의 사랑은 모두 잊어버려요 이제 한 방울 눈물도 닦아줄 수 없는 난 이렇게 그대 맘 알면서도 그대 손을 잡고서 멀리 달아날 용기조차 없는 나죠 자꾸만 왜 망설이나요 날 기다리나요 그대 손 내밀어 반질 받아요 안돼요 못난 나의 사랑은 모두 잊어버려요 이제 한 방울 눈물도 닦아줄 수 없는 난 이렇게 그대 맘 알면서도 그대 손을 잡고서 멀리 달아날 용기조차 없는 나죠 원망하고 또 미워해요 나를 잊고 행복할 수 있다면 여전히 검게 빛나던 눈에서 흘러 내리던 눈물도 못본척 고개 숙이지만 그대 보내줘 몇걸음만 더 걸어가 우리 기억 모두 잊고서 몇걸음만 지나쳐가 그대 앞에 있는 사람에게로 모두들 축복하네요 눈부시게 아름다운 그대 모습 그 속에 내가 있어요 아무 말도 아무 생각도 없이
20040922,케이팝,Epilogue (outro),male,댄스,-,-,김진훈,-,-
20021008,케이팝,Y,male,댄스,-,-,-,-,우린 서로같은 영혼인줄 알았어 네 가슴을 파고들던 쓰라린 그 눈빛 그 날처럼 내게 다시 말해봐 나 하나면 아무 것도 더 필요 없다고 무엇이 널 이렇게 달라지게 한거니 모두 다 거짓이였니 세상도 버린 내게 다가오던 그 숨결 날 사랑한다고 말해주던 그 입술 why don't you tell me all your mind 왜 날 떠나려느느지 나의 잘못이라면 얼마든지 고칠게 way don't you show me all your hurt 왜 힘들어 하는지 다시 내게 기휠 줘 감싸 줄수 있도록 널 사랑해 이렇게 넌 쉬게 떠나보낼 거라면 날버렸던 이 세상을 살지도 않았어 처음이자 마지막 날 원했던 나의 삶의 단 한사람 널 사랑했기에 왜 내게 이런 아픈상처를 주려 하는 건지 어떻게 해야만 너의 맘을 돌릴수 있나 왜 너의 맘을 내게 보여주지 않는 건지 도대체 너의 맘은 way don't you tell me now 무엇이 널 이렇게 달라지게 한거니 모두다 거짓말이었니 세상도 버린 내게 다가오던 그 숨결 날 사랑한다고 말해주던 그 입술 way don't you tell me all your mind 왜 날 떠나려는지 나의 잘못이라면 얼마든지 고칠게 way don't you show me all your hurt 왜 힘들어 하는지 다시 내게 기훨줘 감싸 줄수있도록 널 사랑해 부족한 내 생할에 지쳤을 거야 너를 붙잡아둘 자격조차 없는 나지만 혼자 남겨질 내 눈물이 너무 가여워 너의 손을 놓을 수가 없어 way don't you tell me all your mind 왜 날 떠나려는지 나의 눈을봐 이럴순없어 아니라고 말해봐 way don't you show me all your hurt 왜 힘들어 하는지 다시 내게 기훨줘 감싸 줄수 있도록 널 사랑해 way don't you tell me all your mind 왜 날 떠나려는지 나의 잘못이라면 얼마든지 고칠게 way don't you show me all your hurt 왜 힘드러 하는지 다시 내게 기휠줘 감싸줄수 있도록 way don't you tell me all your mind
20021008,케이팝,젊음,male,댄스,-,-,-,-,얼마나 힘겨웠나요 이 거친 세상의 하루  지친 어깨를 이끌고 맞이했던 매일 아침  사랑은 실망 뿐이죠 혹시나 해도 역시죠  어차피 상처만 남을 사랑인데 늘 기대하죠  그래도 웃어요 내일은 다를거야  우리의 모습도 조금씩은 다 변해 가듯이  가슴을 열어요 다가올 행복을 느껴요  아직은 못다한 어릴 적 꿈들이 나를 기다리잖아  늦은건 하나도 없죠 이제부터 라도 되요  무엇과 바꿀수 없는 젊음 있어 난 행복해요  새파랗게 젊다는건 밑천 하!  우물 쭈물 기다리다 놓쳐 하!  어지러운 세상에 난 미쳐 하!  안된다고 포기말고 고쳐 하!  세상을 바꾸는 용기 또 내것을 만드는 투지와  나름대로 꾸며가는 나만의 둥지 하!  사랑에 속았었나요 우정에 실망했나요  믿을건 하나없다고 다짐해도 또 믿게되죠  그래도 웃어요 내일은 다를 거야  우리의 모습도 조금씩은 다 변해 가듯이  가슴을 열어요 다가올 행복을 느껴요  아직은 못다한 어릴적 꿈들이 나를 기다리잖아  모두가 안된다 해도 해낸적 많았잖아요  그 누구의 노래처럼 젊다는게 한 밑천이죠  오늘은 나의 젊음을 다 감사해요 -
20021008,케이팝,신기루,male,댄스,-,-,-,-,uh baby girl   let me tell you bout my love   its the true story right here   can you say a last word thats right   이렇게 가니 아무말 없이   남겨진 눈물 어떡하라고   어떤 말로도 널 돌릴수 없니   차가운 눈빛 네가 아니야   어떻게 이렇게 어쩌면 그렇게 쉽게도   내게 등을 돌릴 수가 있는 거니   난 이제 어떡해 더 이상 어떡해   이대로 나는 쓰러질 수 밖에 없는거야   아니야 아닌거지 분명히 꿈인거지   내 앞에 보이는건 현실 아닌 그 mirage   바래온 단 한가지 크지도 않은거지   오로지 너와 나의 사랑만을 원한거지   한 마디만 해줘 제발 아니라고   너 아니면 안될 나를 알잖아   다시 생각해줘 한번만이라도   눈물로 쓰러질 나를 알잖아   잊을 수 있니 모든 기억을   행복하다며 웃던 너잖아   어떤 사랑이 널 찾아온거니   날 버릴만큼 소중했었니   하늘이 무너져 내맘도 부서져   하나도 남김없이 찢어지듯 주저앉아   내 몸은 굳어져 또다시 망가져   내 모든 시선들의 시간들이 다 멈춰져   아무리 애원해도 아무리 붙잡아도   너무도 냉정하게 내 모습을 외면하고   더 멀어지고 난 남겨지고 이렇게 초라하게   나는 다시 울어가며 매달리고   한마디만 해줘 제발 아니라고   너 아니면 안될 나를 알잖아   다시 생각해 줘 한번만이라도   눈물로 쓰러질 나를 알잖아     bring the beat back   hit me with the brige come on   꽤 긴 시간인 듯 했다 세상기쁨 다 가진 듯   행복에 만취해 살아온 그 시간   하늘에 감사하며 내 사랑을 키워왔다   그녀가 간다 그 동안 사랑해준   모든것에 고맙다며   그 흔해빠진 이별의 인사말로   등을 돌린 채 멀어진다   한마디만 해줘 제발 아니라고   너 아니면 안될 나를 알잖아  다시 생각해줘 한번만이라도   눈물로 쓰러질 나를 알잖아   두려워 또 다시 눈뜨면 다가올 하루   이대로 멈춰줘 숨쉴 수 없도록   uh uh everytime baby looking at your love   uh uh baby girl let me rise up come on  uh uh won't you come back  baby won't come back  uh uh it's about that time baby   just start it off  uh uh everytime baby looking at your love   uh uh baby girl let me rise up come on
20021008,케이팝,Joy,male,댄스,-,-,-,-,누구도 날 이해 못해 니가 내겐 살아가는 이유란걸  마치 오래전부터 우린 정해져 있었던 운명같이  나에겐 너만이 필요해 나에겐 너만이 특별해  오랜시간이 흐른다해도 나에겐 너만이 소중해  나를 깨우는 햇살속에 달콤한 향기가 느껴져  잘 자라던 니 입술 아직 내 곁에 있는듯  꿈을 꾸는건 아니겠지 내게 기대어 웃음띤 사진속에  너를 안고 물어봐 이렇게 행복해도 되는건지  난 가끔씩 두려워  어린아이처럼 설레이다  널 아쉬움속에 데려다주고 돌아올때면  사랑한다고 말해줘 새하얀 그 손길을 내 품에 묻고  세상 모두 날 떠나도 너만은 나와함께 있을거라고  우리 오늘은 약속해  둘이서 마주 앉아 촛불을 켜고  서로 지치고 힘들때 이순간 기억하며 웃을수 있게  우리사랑 영원히  너의 미소는 아침 햇살처럼 내게 투명한  맑은 샘물처럼 그래 언제나 내게만 보여줘  나 역시 널 보면 행복해 마치 어린아이 같은  미소로 이제 너에게 내 가진 모든걸 주겠어  다 약속하겠어 나의 운명까지도 네게 걸겠어  보고싶다는 너의 음성 밤새 들어도 행복해  너를 만날 내일이 기다려져  이렇게 행복해도 되는건지 난 가끔 두려워  어린아이처럼 설레이다  널 아쉬움속에 데라다주고 돌아올때면  사랑한다고 말해줘 새하얀 그 손길을 내 품에 묻고  세상 모두 날 떠나도 너만은 나와함께 있을거라고  우리 오늘은 약속해 둘이서 마주 앉아 촛불을 켜고  서로 지치고 힘들때 이순간 기억하며 웃을수 있게  우리사랑 영원히
